id_kab,id_prov,year,total_area (km2),hdi,total_landfills,solid_waste_generated
3573,35,2023,110.06,83.39,1,28409.54
1808,18,2022,4386.0,69.53,1,6937.437000000001
1373,13,2022,273.5,73.73,1,688.26
3309,33,2022,1096.35,74.97,1,10678.13
1410,14,2023,3708.0,67.28,1,4461.712
9427,94,2022,634.24,63.65,1,629.0930000000001
1502,15,2023,7679.0,70.81,1,5847.819
1803,18,2022,2219.46,69.0,1,16960.265
1905,19,2023,3607.08,68.51,1,3071.02
3201,32,2022,2710.62,71.2,1,47013.193
8271,82,2022,579.54,80.81,1,4569.447999999999
3372,33,2022,46.72,83.08,1,13734.55
7413,74,2022,818.7,66.21,1,1203.0390000000002
1902,19,2022,2293.69,73.38,1,2686.46
6210,62,2023,8997.0,69.6,1,2486.03
9101,91,2022,14320.0,69.12,1,1325.267
3509,35,2022,3306.69,67.97,4,37036.24
1111,11,2023,3296.86,70.87,1,9675.858
1278,12,2023,469.4,70.68,1,2436.615
7409,74,2022,1755.83,69.0,1,841.3230000000001
3404,34,2023,574.82,84.77,1,26355.44
3216,32,2022,1224.88,75.22,1,82137.91
5316,53,2023,1789.66,63.48,1,1197.712
1110,11,2022,1798.0,73.16,1,6457.311
1808,18,2023,4386.0,70.02,1,7451.185
6208,62,2022,16404.0,68.24,1,2999.94
5106,51,2023,520.81,70.79,1,4119.54
5304,53,2022,3933.15,62.73,1,7498.284999999999
3211,32,2023,1558.72,73.18,2,17480.61
9419,94,2022,18034.0,64.86,1,611.0
9105,91,2022,14250.94,72.6,1,5962.78
1403,14,2022,12614.78,67.37,4,12145.639
9107,91,2023,13075.28,67.49,1,2319.766
5207,52,2022,1742.27,72.65,1,2567.722
7401,74,2023,1669.33,68.12,1,1879.851
6112,61,2023,6985.2,69.6,4,11449.274
1217,12,2023,1444.25,72.08,1,2031.9190000000003
3528,35,2022,792.2,66.99,1,10114.06
3323,33,2023,870.65,71.33,1,14735.78
6403,64,2022,27263.1,74.67,6,11452.48
1804,18,2022,5325.03,70.58,1,17608.796000000002
1104,11,2022,4242.04,70.32,1,3333.3
9404,94,2023,3922.02,70.84,1,3500.086
1605,16,2023,6357.09,68.26,1,7141.992000000001
3673,36,2022,266.74,72.98,1,21346.4
7604,76,2022,4979.89,68.88,1,5030.696999999999
1306,13,2022,1343.09,71.63,1,7959.35
8208,82,2023,2985.75,62.31,1,766.371
1116,11,2023,3727.0,70.88,2,1752.51
5108,51,2022,1366.0,73.45,1,14328.37
1201,12,2022,853.44,63.69,1,2127.24
3321,33,2022,897.43,73.36,1,26366.64
5203,52,2022,2679.88,67.59,1,19620.96
6504,65,2022,13564.0,67.16,1,1557.68
8208,82,2022,2985.75,61.64,1,779.1429999999999
1508,15,2023,6461.0,70.63,1,5522.607
9416,94,2022,17512.0,50.25,1,5236.682999999999
5201,52,2022,1053.92,69.41,1,10533.61
6213,62,2023,23700.16,69.42,1,2083.55
7413,74,2023,818.7,67.13,1,1456.36
7316,73,2022,1806.85,73.39,1,4174.07
6401,64,2022,11603.94,73.44,1,4330.1
7414,74,2023,836.96,65.83,1,1899.593
5102,51,2023,839.33,77.43,1,8492.27
3529,35,2023,2093.47,68.61,1,13411.67
1810,18,2023,617.19,71.61,1,5962.86
1709,17,2022,1223.94,68.47,1,1915.776
3602,36,2022,3305.07,64.71,2,21588.52
6109,61,2022,5444.2,65.58,1,3898.7710000000006
7403,74,2022,5351.85,72.04,1,5096.347
1172,11,2023,122.13,77.52,1,630.84
6503,65,2022,3504.0,68.6,1,517.79
3216,32,2023,1224.88,75.76,1,80993.5
5310,53,2023,1671.65,66.89,1,3922.217000000001
1812,18,2022,1201.15,67.13,1,4178.77
1971,19,2022,118.4,79.24,1,5175.2480000000005
3311,33,2022,466.66,77.94,1,13210.11
9428,94,2023,23813.91,54.08,1,732.816
1904,19,2022,2279.11,71.4,1,3006.11
1272,12,2022,60.52,69.86,1,3415.652
1811,18,2022,2184.0,64.94,1,3929.59
9414,94,2022,23824.0,59.61,1,1930.732
7606,76,2022,3014.37,66.89,1,2005.75
2102,21,2023,1946.13,75.7,1,2040.99
3529,35,2022,2093.47,67.87,1,13219.79
5312,53,2022,1735.64,68.26,1,2655.5350000000003
5103,51,2022,418.5,82.13,1,11947.46
5315,53,2022,3129.0,64.92,1,3097.24
8103,81,2022,2759.07,71.81,1,6201.06
7410,74,2022,4219.81,71.1,1,1061.004
1216,12,2023,1218.0,69.58,1,886.9510000000002
3521,35,2023,1394.74,72.47,1,14344.817
8272,82,2023,1703.32,72.4,1,2089.553
3503,35,2023,1261.4,71.73,1,11149.87
7501,75,2022,1830.87,67.27,1,2289.062
9401,94,2023,46791.63,72.19,1,4517.808999999999
5320,53,2022,460.96,57.9,1,1317.62
6310,63,2023,4871.39,72.31,3,6273.27
8106,81,2023,6948.4,67.56,1,4026.463
9432,94,2022,4330.29,49.9,1,1311.0010000000002
6371,63,2023,98.46,78.5,1,19454.98
3317,33,2022,1014.08,71.0,1,9202.6
7171,71,2023,162.35,80.14,1,9382.920999999998
5371,53,2023,159.33,80.62,1,9478.41
6203,62,2023,14999.0,70.75,1,7800.82
1671,16,2022,352.5,79.47,1,43981.57
7109,71,2023,730.62,71.93,1,1712.73
7102,71,2022,1128.45,76.18,2,6363.28
1508,15,2022,6461.0,69.78,1,5575.446
6471,64,2023,509.75,81.66,1,19303.84
7408,74,2023,2932.25,71.04,1,2295.8240000000005
2171,21,2023,3868.97,82.11,1,42305.41
3175,31,2022,147.21,80.81,1,49948.08
6271,62,2023,2853.19,81.68,1,5694.51
1103,11,2022,4173.82,67.87,1,3521.77
3175,31,2023,147.21,81.11,1,50456.05
7203,72,2022,4486.89,72.55,1,3064.36
9471,94,2022,940.0,80.61,1,7952.83
3324,33,2022,1002.23,73.19,1,14965.29
1109,11,2023,3184.46,71.66,1,6662.784999999999
3577,35,2023,33.23,82.71,1,4718.246000000001
1307,13,2023,2232.4,73.98,1,8016.38
6503,65,2023,3504.0,69.2,1,523.48
1117,11,2023,1145.0,74.49,1,2468.57
7211,72,2022,725.67,66.22,1,1354.99
8207,82,2022,2337.33,63.8,1,1014.897
1872,18,2023,73.21,78.36,1,2919.046
7102,71,2023,1141.64,76.96,2,6392.26
1213,12,2023,6273.29,72.21,3,16765.326000000005
3511,35,2023,1560.1,67.99,1,11488.973999999998
3302,33,2022,1328.0,73.17,1,19596.45
9471,94,2023,940.0,81.14,1,8828.28
5315,53,2023,3129.0,65.81,1,3757.249
9435,94,2022,3922.02,49.25,1,2351.0000000000005
3271,32,2022,118.5,77.17,1,27172.76
1904,19,2023,2279.11,71.71,1,3060.45
6405,64,2023,34127.17,76.21,3,5128.21
3575,35,2022,35.29,76.54,1,5329.73
1215,12,2023,2297.2,70.75,1,3364.019000000001
3204,32,2022,1767.96,73.16,1,46835.19
9102,91,2022,18500.0,66.11,1,929.04
3327,33,2022,1115.0,67.19,1,21669.45
2104,21,2023,2117.72,67.44,1,1423.615
6211,62,2022,10804.0,71.4,1,3705.84
9433,94,2022,8055.0,43.87,1,3472.5740000000005
3328,33,2023,876.1,70.23,1,22049.37
3101,31,2022,10.73,72.79,1,653.11
3212,32,2022,2040.11,68.55,2,40648.11
1371,13,2022,694.96,83.29,1,23497.31
6302,63,2022,9442.46,69.74,1,6614.35
9105,91,2023,14250.94,73.21,1,6584.93
7408,74,2022,2932.25,70.39,1,2034.06
6107,61,2022,21635.0,67.86,1,6541.494000000001
3402,34,2022,506.85,80.69,1,24501.321
7109,71,2022,753.14,71.48,1,1684.1
6106,61,2023,31588.0,68.68,4,11188.062
5308,53,2022,1268.11,65.47,1,2237.9770000000003
5205,52,2022,2324.55,69.15,1,3346.227
7314,73,2022,1832.3,72.06,1,4718.63
1303,13,2023,3738.0,70.63,1,5923.4
1371,13,2023,694.96,83.58,1,23629.66
3316,33,2022,1820.95,69.95,2,13981.18
3320,33,2022,1062.01,73.15,3,15051.64
3273,32,2022,167.67,82.5,1,58187.65
3572,35,2022,32.58,79.93,1,2773.27
1609,16,2023,4369.25,70.96,1,11803.445
3506,35,2022,1386.05,73.46,1,24008.24
7311,73,2022,4567.36,67.01,1,14811.52
6307,63,2023,1770.77,70.13,1,3840.69
7304,73,2023,796.0,65.9,1,6367.341000000001
3313,33,2023,774.0,77.31,1,18895.775
1610,16,2022,2382.0,67.96,1,6197.159
5318,53,2023,1396.16,67.07,1,2260.4080000000004
7310,73,2023,1201.9,72.36,1,2840.33
5204,52,2022,6643.98,68.89,2,9482.04
5104,51,2023,368.0,79.24,1,19669.85
1806,18,2022,2667.0,68.33,1,9098.591
6501,65,2022,38911.8,72.75,1,1432.74
1220,12,2023,3945.56,71.63,1,5205.803999999999
8104,81,2023,7594.98,70.56,1,2671.5060000000003
1374,13,2022,23.0,78.78,1,1786.51
9409,94,2022,2602.0,72.85,1,2143.46
9102,91,2023,18500.0,66.72,1,826.865
9435,94,2023,3922.02,50.19,1,2351.0000000000005
5371,53,2022,159.33,80.2,1,8319.26
1608,16,2023,5493.94,66.67,1,6217.546
1405,14,2023,8556.09,74.98,4,6972.23
6212,62,2022,3834.0,72.07,1,1679.83
1304,13,2022,3130.8,68.69,1,3551.39
1905,19,2022,3607.08,67.95,1,2996.69
1209,12,2022,4372.5,73.77,1,18644.47
3579,35,2022,199.09,77.22,1,4935.95
3322,33,2022,950.21,74.67,1,19342.15
3376,33,2023,39.68,77.02,1,7258.411
9111,91,2023,2812.44,61.55,1,686.2540000000001
3501,35,2023,1390.0,70.19,1,10534.56
1811,18,2023,2184.0,65.64,1,3787.5499999999993
1220,12,2022,3945.56,70.93,1,5166.634
3522,35,2023,2307.06,70.85,2,13363.94
1901,19,2022,3028.79,72.95,2,4881.42
3210,32,2022,1204.24,68.56,1,20908.063999999995
7318,73,2022,2043.62,69.88,1,4249.27
5104,51,2022,368.0,78.39,1,19669.85
1215,12,2022,2297.2,70.32,1,2165.37
6409,64,2022,3333.0,72.55,1,3503.4
1377,13,2022,73.36,77.65,1,1396.34
7203,72,2023,5472.0,73.02,1,3216.45
7308,73,2023,1442.95,71.63,1,5996.21
1309,13,2022,3947.63,67.41,1,4425.3
7311,73,2023,4567.36,67.81,1,14877.18
9403,94,2023,17514.0,73.5,1,5165.433999999999
3207,32,2023,1425.0,72.05,2,18217.44
1408,14,2023,514.0,74.97,4,9511.5
3209,32,2023,1076.76,70.95,1,49840.05100000001
1410,14,2022,3708.0,66.52,1,4478.675
1104,11,2023,4242.04,71.05,1,4166.62
9107,91,2022,13075.28,66.69,1,1816.27
7210,72,2023,5196.02,69.93,1,5475.526
7309,73,2022,888.91,69.79,1,5153.06
1274,12,2023,38.96,76.98,1,3854.205
5107,51,2023,839.5,68.91,1,9076.453
5271,52,2022,61.3,79.59,1,9643.69
3271,32,2023,111.39,77.85,1,28463.16
1309,13,2023,3947.63,68.13,1,4488.41
1118,11,2023,952.11,74.8,1,2446.498
7202,72,2023,9672.7,71.7,1,6683.59
7171,71,2022,162.35,79.66,1,10624.11
7204,72,2023,7112.25,72.48,1,4819.91
5101,51,2022,841.8,73.58,1,5947.29
7106,71,2023,1059.0,75.31,1,4646.5740000000005
7103,71,2022,597.26,71.63,1,2039.39
1204,12,2022,2194.98,70.31,1,6739.73
1113,11,2023,5365.98,68.93,1,1506.85
7312,73,2022,1385.55,69.7,1,3439.38
3520,35,2022,688.84,74.85,1,10064.79
1273,12,2023,79.97,80.46,1,5866.46
3211,32,2022,1518.33,72.69,1,16159.2
3101,31,2023,10.73,73.39,1,663.43
5205,52,2023,2324.55,69.98,1,3505.692
3603,36,2023,959.61,73.43,1,74963.193
3601,36,2022,2746.0,65.84,1,17306.449
9101,91,2023,14320.0,69.72,1,1244.1919999999998
7503,75,2023,4370.36,67.15,1,2590.042
7405,74,2023,4237.74,70.32,1,5065.188
1673,16,2023,633.66,70.45,1,2698.01
6103,61,2023,9909.1,68.14,1,6150.700000000001
5206,52,2022,4389.0,67.57,1,10110.21
9431,94,2022,3743.64,49.25,1,643.3340000000001
3305,33,2023,1281.11,71.37,1,24302.834
7271,72,2022,395.06,82.02,1,7407.37
3403,34,2022,1485.36,70.96,1,13787.19
6403,64,2023,27263.1,75.3,3,13558.611
6372,63,2023,305.2,80.11,1,6026.575000000001
3519,35,2023,1010.86,72.97,1,10914.8
3579,35,2023,199.09,78.18,1,5206.27
1504,15,2023,5804.83,71.02,1,5433.96
6308,63,2022,915.05,66.84,1,3376.83
3671,36,2023,164.55,79.46,1,44283.21800000001
1203,12,2022,4355.35,70.92,1,5178.434000000001
3323,33,2022,870.65,70.77,1,14605.04
9426,94,2022,22004.87,65.67,1,528.52
7409,74,2023,1755.83,69.7,1,821.613
3303,33,2023,777.64,70.24,1,19775.84
3329,33,2022,1769.62,67.03,2,36693.76
7315,73,2022,1896.58,71.97,1,6586.18
3518,35,2022,1224.33,72.93,3,16210.77
1376,13,2023,80.43,79.97,1,3404.16
6302,63,2023,9442.46,70.18,1,6708.22
6207,62,2022,6414.0,71.11,1,1454.255
3527,35,2023,1233.0,64.13,1,15590.734
1601,16,2023,4797.0,71.01,2,5453.08
3203,32,2022,3840.16,65.94,1,39204.928
7404,74,2022,2958.92,73.98,1,4402.16
6311,63,2023,1878.3,70.49,1,2033.5320000000004
1509,15,2023,4659.0,71.06,1,5901.41
3310,33,2023,701.52,77.59,1,23705.07
3514,35,2023,1474.02,70.29,1,26010.904
3512,35,2022,1638.5,68.25,1,9389.17
3214,32,2022,825.74,71.56,1,18143.428000000004
