id_kab,id_prov,year,total_area (km2),population,traffic_density,densities,green_open_space,hdi,gross_regional_domestic_product,total_landfills,solid_waste_generated,happiness_score,is_noise
6501,65,2022,5246.0,84509,1,2.32,233.65453408340895,72.75,17587,2,2121.2693368202245,77.97,True
7109,71,2022,753.14,118023,1,156.71,0.25,71.48,6147,1,1684.1,74.89,True
7210,72,2022,5225.44,266812,1,51.06,233.65453408340895,69.05,10600,1,4700.84,76.83,True
7302,73,2022,1175.53,445815,1,379.25,36.99,70.34,17233,1,5080.06,75.59,True
7326,73,2022,1289.13,268877,1,208.57,0.25,70.36,11311,1,5080.06,74.43,True
7373,73,2022,273.24,189841,1,694.78,0.48,78.91,9768,1,3418.79,73.58,True
7408,74,2022,2932.25,142770,1,48.69,0.25,70.39,10096,1,2034.06,75.88,True
7410,74,2022,4219.81,70680,1,16.75,161.58221166806803,71.1,4799,1,1816.397327619743,72.81,True
7501,75,2022,1830.87,148526,1,81.12,0.47,67.27,6112,1,2021.36519966732,77.43,True
7502,75,2022,2160.36,398801,1,184.6,0.99,68.28,14889,1,5080.06,76.51,True
7605,76,2022,3043.75,198608,1,65.25,0.25,68.61,13185,1,2943.890614255145,73.35,True
9103,91,2022,5246.0,45030,1,3.01,233.65453408340895,65.14,1663,1,669.72,72.97,True
9105,91,2022,5246.0,200785,1,14.09,233.65453408340895,72.6,10282,1,5080.06,76.76,True
9413,94,2022,5246.0,65310,1,2.41,233.65453408340895,65.14,5078,1,951.82,69.96,True
9414,94,2022,5246.0,108232,1,4.54,233.65453408340895,65.14,3351,2,2512.448155360018,71.14,True
1103,11,2023,4173.82,236933,1,56.77,137.85647841691554,68.44,7034,1,3532.35,76.31,True
1174,11,2023,181.06,196067,1,1082.88,0.25,78.92,11170,1,3265.5265307564746,75.08,True
1208,12,2023,3732.97,802563,1,214.99,0.68,71.56,51282,2,5080.06,73.95,True
1215,12,2023,2297.2,204700,1,89.11,130.59900865899075,70.75,7655,1,2752.7594072392085,74.3,True
1221,12,2023,3892.74,275648,1,70.81,0.25,70.34,16127,1,5020.011540815217,71.51,True
1371,13,2023,694.96,924687,1,1137.27,142.27,81.95,54634,1,5080.06,75.02,True
1603,16,2023,5246.0,633779,1,93.7,21.04,70.24,54634,4,5080.06,75.28,True
1604,16,2023,4344.87,444949,1,102.41,0.86,69.1,29289,1,5080.06,72.32,True
1608,16,2023,5246.0,424190,1,77.21,230.70918082706729,66.67,11090,1,5080.06,71.83,True
1801,18,2023,3368.14,303931,1,90.24,0.25,69.11,9018,1,4589.908276170999,74.3,True
1810,18,2023,617.19,409858,1,664.07,0.25,71.61,14010,1,5080.06,71.37,True
1904,19,2023,2279.11,203733,1,89.39,15.34,71.71,11427,1,3060.45,77.52,True
2104,21,2023,2117.72,101917,1,48.13,205.03895611110036,67.44,5250,1,1959.791795154922,73.58,True
2171,21,2023,3868.97,1256610,1,324.79,2.5,81.95,54634,1,5080.06,77.7,True
3203,32,2023,3614.35,1322474,1,713.49,0.25,66.55,54634,1,5080.06,76.67,True
3207,32,2023,1425.0,1257583,1,882.51,66.8,72.05,39841,2,5080.06,80.66,True
3328,33,2023,876.1,1322474,1,1137.27,0.25,70.23,44440,1,5080.06,76.4,True
3518,35,2023,1224.33,1124247,1,918.25,57.46665676307117,73.71,33647,3,5080.06,72.65,True
3575,35,2023,39.0,213450,2,1137.27,26.74099093237486,77.17,10400,1,5080.06,71.93,True
5102,51,2023,839.33,470900,1,561.04,41.31,77.43,25531,1,5080.06,78.22,True
5108,51,2023,1366.0,831200,1,608.49,1.41,73.97,38351,1,5080.06,78.03,True
5201,52,2023,1053.92,753641,1,715.08,0.25,70.15,18121,1,5080.06,70.44,True
5303,53,2023,5136.51,376837,1,73.36,0.25,65.82,9158,1,5080.06,68.74,True
5371,53,2023,159.33,466632,2,1137.27,58.53237412572487,80.62,28478,1,5080.06,69.3,True
6105,61,2023,5246.0,503937,1,39.19,233.65453408340895,67.77,24529,4,5080.06,72.1,True
6106,61,2023,5246.0,592521,1,18.76,233.65453408340895,68.68,35249,3,5080.06,74.69,True
6207,62,2023,5246.0,102103,1,15.92,0.25,71.81,7519,2,2030.3104967329905,75.09,True
6271,62,2023,2853.19,305797,1,107.18,233.65453408340895,81.68,24175,1,5080.06,77.89,True
6411,64,2023,5246.0,32892,1,2.32,233.65453408340895,69.59,3409,1,653.81,74.38,True
7304,73,2023,796.0,414482,1,520.71,0.25,65.9,12152,1,5080.06,70.59,True
7310,73,2023,1201.9,187952,1,156.38,0.25,72.36,9427,1,2840.33,73.42,True
7322,73,2023,5246.0,333781,1,44.97,233.65453408340895,71.34,17841,1,5080.06,74.09,True
7571,75,2023,70.93,204440,2,1137.27,0.25,78.64,10536,1,2589.89,78.36,True
8101,81,2023,5246.0,128648,1,12.73,233.65453408340895,65.14,3393,2,2928.8339957167022,78.01,True
8204,82,2023,5246.0,255384,1,31.54,0.25,65.83,17727,1,4484.597286309972,80.65,True
9401,94,2023,5246.0,240609,1,5.14,233.65453408340895,72.19,18951,1,5080.06,69.85,True
9415,94,2023,5246.0,109862,1,4.63,233.65453408340895,65.14,3145,2,1696.52,70.8,True
